iter	Passed	Remaining
0	147	147218
1	148	74004
2	149	49615
3	150	37415
4	151	30145
5	152	25234
6	153	21750
7	154	19144
8	155	17147
9	156	15508
10	157	14171
11	158	13057
12	159	12104
13	160	11297
14	161	10595
15	162	9983
16	163	9434
17	164	8957
18	165	8569
19	166	8179
20	167	7825
21	168	7499
22	169	7205
23	170	6936
24	171	6687
25	172	6456
26	173	6244
27	174	6045
28	175	5859
29	175	5684
30	176	5521
31	177	5368
32	178	5223
33	179	5086
34	180	4971
35	181	4855
36	182	4741
37	183	4634
38	183	4533
39	184	4436
40	185	4343
41	186	4254
42	187	4172
43	188	4093
44	189	4019
45	190	3949
46	191	3879
47	192	3812
48	193	3747
49	194	3687
50	195	3645
51	196	3585
52	197	3530
53	198	3476
54	199	3425
55	200	3374
56	200	3324
57	201	3276
58	202	3230
59	203	3185
60	204	3141
61	204	3100
62	205	3058
63	206	3018
64	207	2980
65	208	2944
66	208	2908
67	209	2876
68	211	2849
69	212	2816
70	212	2785
71	213	2755
72	214	2725
73	215	2696
74	216	2667
75	216	2638
76	217	2610
77	218	2584
78	219	2558
79	220	2533
80	221	2508
81	221	2483
82	222	2455
83	222	2431
84	223	2409
85	225	2391
86	226	2371
87	226	2351
88	227	2332
89	228	2312
90	229	2292
91	230	2272
92	231	2253
93	231	2234
94	232	2216
95	233	2197
96	234	2180
97	234	2162
98	235	2145
99	236	2128
100	237	2111
101	238	2096
102	239	2082
103	240	2072
104	241	2059
105	242	2045
106	243	2031
107	244	2016
108	244	2002
109	245	1988
110	246	1974
111	247	1960
112	248	1948
113	249	1935
114	249	1922
115	250	1909
116	251	1895
117	252	1883
118	252	1872
119	253	1861
120	255	1855
121	256	1844
122	257	1833
123	258	1822
124	258	1812
125	259	1802
126	260	1791
127	261	1780
128	262	1770
129	263	1760
130	263	1749
131	264	1739
132	265	1729
133	266	1719
134	266	1710
135	267	1700
136	268	1692
137	269	1685
138	270	1676
139	271	1667
140	272	1658
141	272	1648
142	273	1640
143	274	1631
144	275	1623
145	276	1614
146	276	1606
147	277	1598
148	278	1591
149	279	1583
150	280	1575
151	280	1567
152	281	1559
153	282	1552
154	283	1547
155	284	1540
156	285	1532
157	286	1525
158	287	1518
159	287	1510
160	288	1502
161	289	1495
162	289	1488
163	290	1481
164	291	1474
165	292	1467
166	292	1460
167	293	1454
168	294	1448
169	295	1441
170	296	1436
171	297	1430
172	297	1424
173	299	1420
174	300	1415
175	300	1408
176	301	1402
177	302	1396
178	303	1390
179	304	1385
180	304	1379
181	305	1373
182	306	1368
183	307	1362
184	308	1357
185	308	1351
186	309	1346
187	310	1340
188	311	1335
189	311	1329
190	312	1324
191	313	1321
192	314	1316
193	315	1311
194	316	1305
195	317	1300
196	317	1295
197	318	1290
198	319	1285
199	320	1280
200	320	1275
201	321	1270
202	322	1265
203	323	1261
204	324	1256
205	324	1252
206	325	1247
207	326	1242
208	327	1238
209	328	1233
210	329	1231
211	330	1227
212	331	1223
213	331	1219
214	332	1214
215	333	1210
216	334	1206
217	335	1202
218	335	1198
219	336	1193
220	337	1189
221	338	1185
222	339	1181
223	339	1177
224	340	1173
225	341	1169
226	342	1165
